Country,Population,Books,Colour
Afghanistan,34124811,NA,#7570b3
Aland,27153,NA,#d95f02
Albania,3047987,28,#1b9e77
Algeria,40969443,NA,#1b9e77
American Samoa,51504,NA,#e6ab02
Andorra,85702,NA,#1b9e77
Angola,29310273,NA,#d95f02
Anguilla,17087,NA,#e6ab02
Antarctica,4050,NA,#66a61e
Antigua and Barb.,94731,NA,#e7298a
Argentina,44293293,58,#e7298a
Armenia,3045191,15,#7570b3
Aruba,115120,NA,#e7298a
Australia,23232413,42,#e6ab02
Austria,8754413,742,#66a61e
Azerbaijan,9961396,7,#1b9e77
Bahamas,329988,4,#e7298a
Bahrain,1410942,NA,#e6ab02
Bangladesh,157826578,3,#66a61e
Barbados,292336,NA,#d95f02
Belarus,9549747,22,#1b9e77
Belgium,11491346,91,#66a61e
Belize,360346,NA,#7570b3
Benin,11038805,NA,#1b9e77
Bermuda,70864,NA,#66a61e
Bhutan,758288,NA,#e7298a
Bolivia,11138234,NA,#e6ab02
Bosnia and Herz.,3856181,80,#66a61e
Botswana,2214858,NA,#e6ab02
Br. Indian Ocean Ter.,4000,NA,#7570b3
Brazil,207353391,61,#7570b3
British Virgin Is.,35015,NA,#e7298a
Brunei,443593,NA,#66a61e
Bulgaria,7101510,254,#e6ab02
Burkina Faso,20107509,NA,#e6ab02
Burundi,11466756,NA,#e7298a
Cabo Verde,560899,NA,#66a61e
Cambodia,16204486,1,#66a61e
Cameroon,24994885,NA,#7570b3
Canada,35623680,181,#7570b3
Cayman Is.,58441,NA,#1b9e77
Central African Rep.,5625118,NA,#66a61e
Chad,12075985,NA,#1b9e77
Chile,17789267,5,#d95f02
China,1379302771,571,#1b9e77
Colombia,47698524,13,#d95f02
Comoros,808080,NA,#d95f02
Congo,4954674,NA,#e7298a
Cook Is.,9290,NA,#1b9e77
Costa Rica,4930258,2,#e7298a
Cote d'Ivoire,24184810,NA,#d95f02
Croatia,4292095,286,#1b9e77
Cuba,11154407,26,#d95f02
Curacao,149648,NA,#66a61e
Cyprus,1247249,NA,#e7298a
Czechia,10674723,3921,#7570b3
Dem. Rep. Congo,83301151,NA,#e6ab02
Denmark,5605948,271,#d95f02
Djibouti,865267,NA,#e6ab02
Dominica,73897,NA,#66a61e
Dominican Rep.,10734247,2,#7570b3
Ecuador,16290913,3,#e7298a
Egypt,97041072,19,#e7298a
El Salvador,6172011,NA,#d95f02
Eq. Guinea,778358,NA,#d95f02
Eritrea,5918919,NA,#7570b3
Estonia,1251581,67,#66a61e
eSwatini,1467152,NA,#7570b3
Ethiopia,105350020,3,#1b9e77
Faeroe Is.,50730,1,#e7298a
Falkland Is.,2931,NA,#e6ab02
Fiji,920938,NA,#e6ab02
Finland,5491218,192,#e6ab02
Fr. Polynesia,287881,NA,#e6ab02
Fr. S. Antarctic Lands,140,NA,#e7298a
France,67106161,1769,#d95f02
Gabon,1772255,NA,#1b9e77
Gambia,2051363,NA,#e6ab02
Georgia,4926330,8,#e7298a
Germany,80594017,4843,#e7298a
Ghana,27499924,NA,#e7298a
Gibraltar,29396,NA,#e7298a
Greece,10768477,83,#d95f02
Greenland,57713,NA,#66a61e
Grenada,111724,NA,#e7298a
Guam,167358,NA,#1b9e77
Guatemala,15460732,NA,#e7298a
Guernsey,66502,NA,#1b9e77
Guinea,12413867,NA,#66a61e
Guinea-Bissau,1792338,NA,#e7298a
Guyana,737718,NA,#1b9e77
Haiti,10646714,NA,#e6ab02
Heard I. and McDonald Is.,0,NA,#d95f02
Honduras,9038741,NA,#66a61e
Hong Kong,7191503,7,#7570b3
Hungary,9850845,993,#e7298a
Iceland,339747,7,#d95f02
India,1281935911,46,#d95f02
Indonesia,260580739,13,#66a61e
Iran,82021564,74,#d95f02
Iraq,39192111,6,#e7298a
Ireland,5011102,6,#e6ab02
Isle of Man,88815,NA,#1b9e77
Israel,8299706,161,#1b9e77
Italy,62137802,882,#e6ab02
Jamaica,2990561,NA,#e7298a
Japan,126451398,258,#66a61e
Jersey,98840,NA,#1b9e77
Jordan,10248069,2,#7570b3
Kazakhstan,18626698,9,#e7298a
Kenya,47615739,NA,#e7298a
Kiribati,108145,NA,#d95f02
Kosovo,1895250,7,#e7298a
Kuwait,2875422,1,#66a61e
Kyrgyzstan,5789122,NA,#e6ab02
Laos,7126706,NA,#7570b3
Latvia,1944643,65,#7570b3
Lebanon,6229794,25,#e7298a
Lesotho,1958042,NA,#e7298a
Liberia,4689021,NA,#e6ab02
Libya,6653210,NA,#66a61e
Liechtenstein,38244,10,#7570b3
Lithuania,2823859,65,#e7298a
Luxembourg,594130,NA,#e6ab02
Macao,601969,NA,#e6ab02
Macedonia,2103721,108,#66a61e
Madagascar,25054161,NA,#7570b3
Malawi,19196246,NA,#d95f02
Malaysia,31381992,NA,#e6ab02
Maldives,392709,NA,#d95f02
Mali,17885245,NA,#e7298a
Malta,416338,NA,#d95f02
Marshall Is.,74539,NA,#7570b3
Mauritania,3758571,NA,#7570b3
Mauritius,1356388,NA,#d95f02
Mexico,124574795,114,#e6ab02
Micronesia,104196,NA,#d95f02
Moldova,3474121,10,#e7298a
Monaco,30645,6,#66a61e
Mongolia,3068243,11,#e6ab02
Montenegro,642550,4,#7570b3
Montserrat,5292,NA,#e6ab02
Morocco,33986655,10,#66a61e
Mozambique,26573706,NA,#e6ab02
Myanmar,55123814,NA,#e6ab02
N. Cyprus,265100,NA,#d95f02
N. Mariana Is.,52263,NA,#66a61e
Namibia,2484780,NA,#e7298a
Nauru,9642,NA,#d95f02
Nepal,29384297,NA,#7570b3
Netherlands,17084719,589,#7570b3
New Caledonia,279070,NA,#66a61e
New Zealand,4510327,2,#e7298a
Nicaragua,6025951,1,#e6ab02
Niger,19245344,NA,#d95f02
Nigeria,190632261,NA,#e7298a
Niue,1626,NA,#7570b3
Norfolk Island,2210,NA,#7570b3
North Korea,25248140,2,#e7298a
Norway,5320045,169,#e7298a
Oman,3424386,NA,#e6ab02
Pakistan,204924861,9,#e6ab02
Palau,21431,NA,#66a61e
Palestine,4543126,NA,#d95f02
Panama,3753142,6,#1b9e77
Papua New Guinea,6909701,NA,#1b9e77
Paraguay,6943739,3,#66a61e
Peru,31036656,NA,#1b9e77
Philippines,104256076,9,#e7298a
Pitcairn Is.,54,NA,#e7298a
Poland,38476269,1612,#d95f02
Portugal,10839514,43,#d95f02
Puerto Rico,3351827,NA,#d95f02
Qatar,2314307,NA,#e7298a
Romania,21529967,287,#7570b3
Russia,142257519,874,#d95f02
Rwanda,11901484,NA,#66a61e
S. Geo. and the Is.,30,NA,#e6ab02
S. Sudan,13026129,NA,#d95f02
Saint Helena,7828,NA,#d95f02
Saint Lucia,164994,NA,#1b9e77
Samoa,200108,NA,#d95f02
San Marino,33537,NA,#7570b3
Sao Tome and Principe,201025,NA,#e6ab02
Saudi Arabia,28571770,NA,#1b9e77
Senegal,14668522,NA,#d95f02
Serbia,7111024,208,#d95f02
Seychelles,93920,NA,#e7298a
Siachen Glacier,6000,NA,#aaaaaa
Sierra Leone,6163195,NA,#1b9e77
Singapore,5888926,2,#e7298a
Sint Maarten,42083,NA,#66a61e
Slovakia,5445829,1639,#e6ab02
Slovenia,1972126,541,#d95f02
Solomon Is.,647581,NA,#d95f02
Somalia,7531386,NA,#d95f02
Somaliland,3500000,NA,#66a61e
South Africa,54841552,11,#66a61e
South Korea,51181299,103,#7570b3
Spain,48958159,849,#e6ab02
Sri Lanka,22409381,10,#1b9e77
St. Kitts and Nevis,52715,NA,#d95f02
St. Pierre and Miquelon,5533,NA,#7570b3
St. Vin. and Gren.,102089,NA,#7570b3
St-Barthelemy,7184,NA,#7570b3
St-Martin,32125,NA,#e7298a
Sudan,37345935,NA,#e6ab02
Suriname,591919,NA,#e7298a
Sweden,9960487,316,#1b9e77
Switzerland,8236303,516,#1b9e77
Syria,18028549,16,#e6ab02
Taiwan,23508428,6,#d95f02
Tajikistan,8468555,5,#66a61e
Tanzania,53950935,NA,#1b9e77
Thailand,68414135,6,#e7298a
Timor-Leste,1291358,NA,#e7298a
Togo,7965055,NA,#7570b3
Tonga,106479,NA,#66a61e
Trinidad and Tobago,1218208,NA,#d95f02
Tunisia,11403800,NA,#7570b3
Turkey,80845215,138,#66a61e
Turkmenistan,5351277,4,#66a61e
Turks and Caicos Is.,52570,NA,#e7298a
Tuvalu,11052,NA,#e7298a
U.S. Minor Outlying Is.,300,NA,#66a61e
U.S. Virgin Is.,107268,NA,#7570b3
Uganda,39570125,NA,#7570b3
Ukraine,44033874,214,#66a61e
United Arab Emirates,6072475,1,#7570b3
United Kingdom,64769452,1214,#1b9e77
United States of America,326625791,1344,#1b9e77
Uruguay,3360148,NA,#1b9e77
Uzbekistan,29748859,7,#d95f02
Vanuatu,282814,NA,#e7298a
Vatican,1000,1,#66a61e
Venezuela,31304016,4,#e6ab02
Vietnam,96160163,44,#e6ab02
W. Sahara,603253,NA,#e6ab02
Wallis and Futuna Is.,15714,NA,#1b9e77
Yemen,28036829,NA,#e7298a
Zambia,15972000,NA,#7570b3
Zimbabwe,13805084,2,#1b9e77
